,team_id,team_name,apps,goals,shots_pg,yels,reds,possession,pass_success,aerials_won,rating,shots_conceded_pg,tackles_pg,intercept_pg,fouls_pg,shots_on_target_pg,dribbles_pg,fouled_pg
0,13,Arsenal,38,88,15.6,52,0,59.7,85.4,12.9,6.81,9,14.9,6.2,9.8,5.4,9.4,11.4
0,24,Aston Villa,38,51,11.3,80,1,49.2,81.1,11.7,6.65,11.3,16.7,8.5,11,4,7.7,13.1
0,183,Bournemouth,38,37,9.4,69,0,40.0,77.5,13.8,6.53,16.5,16.3,9.3,10.3,3.5,8.4,9.6
0,189,Brentford,38,58,10.7,55,1,43.3,74.8,17.5,6.67,14.7,15.4,9,9.3,4.3,6.9,10.5
0,211,Brighton,38,72,16.1,59,0,60.5,85.9,11.7,6.72,10.2,16.2,8,11.2,6.1,9.1,10.7
0,15,Chelsea,38,38,12.7,77,3,58.8,85.8,13.1,6.62,11.5,19.5,9,10.4,4.2,9.9,12.2
0,162,Crystal Palace,38,40,11.2,79,3,45.8,79.3,13.1,6.61,12,18.2,9.4,11.7,3.6,9.7,12.6
0,31,Everton,38,34,11.3,79,2,42.5,77.0,15.3,6.62,15.2,18.6,10.3,10.4,4,8,10.1
0,170,Fulham,38,55,11.3,80,1,48.6,80.0,13.5,6.61,13.3,16.4,8.9,10.8,3.9,7.1,10.7
0,19,Leeds,38,48,12.2,84,3,46.3,74.9,15.5,6.50,13.9,22.1,10.3,12.3,3.8,7.1,10.7
0,14,Leicester,38,51,11,59,2,47.7,80.3,13.5,6.57,15.1,18.4,9.7,10.8,4,7.7,10.4
0,26,Liverpool,38,75,15.9,57,1,60.6,84.2,12.6,6.75,9.7,15.5,8.8,10.7,5.6,8.5,8.4
0,167,Manchester City,38,94,15.8,44,1,65.2,89.2,11.6,6.90,7.7,12.3,5.8,9.1,5.8,8.8,10.1
0,32,Manchester United,38,58,15.6,78,2,53.7,82.3,12.3,6.77,12.7,17.3,9.3,11.2,5.7,8.4,7.8
0,23,Newcastle,38,68,15,62,1,52.2,79.8,14.7,6.79,10.2,16,8.8,10.7,5.2,9.2,10.5
0,174,Nottingham Forest,38,38,9.7,84,0,37.2,72.3,14.8,6.49,14.7,17.3,9.2,11.7,3.1,6.7,10.3
0,18,Southampton,38,36,11,73,0,44.1,77.4,14.6,6.50,13.8,18.8,11.3,11.3,3.7,9.4,9.9
0,30,Tottenham,38,70,13.6,75,3,49.8,83.4,14.6,6.71,13.7,16.2,8.9,11.2,5.2,8,9.3
0,29,West Ham,38,42,12.5,44,0,41.4,78.2,16.4,6.60,13.1,16,10.7,9.5,3.8,6.4,8.3
0,161,Wolverhampton,38,31,10.8,84,6,50.1,81.3,12.3,6.51,14.6,17.4,7.3,12.2,3.3,9.9,10.2
